Предпочтения;Голоса;	
A>B>C>D;6;	
A>B>D>C;3;	
B>C>D>A;22;	
B>D>A>C;5;	
B>A>C>D;28;	
C>A>D>B;18;	
C>D>A>B;5;	
C>D>B>A;26;	
D>C>A>B;25;	
D>C>B>A;2;	
D>A>C>B;23;	
Системы;Решение;	
1) по большинству первых мест в одном туре;Ответ: ;	
2) лучшие два выходят во второй тур и победитель определяется исходя из парных предпочтений;Ответ: ;	
3) по системе Кондорсе, в результате парных сравнений кандидатов;Ответ: ;	
4) по системе Борда (набирая баллы за места);Ответ: ;	
5) в каждом туре отсеивается один, последний, кандидат;Ответ: ;	
